date,key,label,ind,occ,unocc,cap,cap_funding,rate,col_type,indent,is_total
2026-09-01,allied_total,"Allied Services, Total",359,359,9,368,368,97.6,bed,0,True
2026-09-01,respites,24-Hour Respites,298,298,2,300,300,99.3,bed,1,False
2026-09-01,dropin,24-Hour Women's Drop-ins,61,61,7,68,68,89.7,bed,1,False
2026-09-01,temp_resp,24-Hour Temporary Response Sites,50,50,0,50,50,100.0,bed,0,False
2026-09-01,hotels,Hotels,1972,1479,6,1485,1515,99.6,room,0,False
2026-09-01,iso,Isolation/Recovery Programs Combined Total,0,0,0,0,0,,room,0,False
2026-08-31,all_shelter,"All Shelter Programs, Total",7542,,,,,,summary,0,True
2026-08-31,room_based,"Shelter Programs, Room-Based, Total",1917,,,,,,summary,1,True
2026-08-31,singles_sector,"Singles Sector Programs, Total",5625,,,,,,summary,1,True
2026-08-31,singles_shelter,"  Shelter Programs, Singles, Total",3241,3241,129,3370,3490,96.2,summary,2,False
2026-08-31,allied_summ,"  Allied Services, Total",356,356,12,368,368,96.7,summary,2,False
2026-08-31,temp_summ,"  Temporary Programs, Total",2028,,,,,,summary,2,False
2026-08-31,iso_summ,Temporary Isolation/Recovery Programs,0,0,0,0,0,,summary,1,False
2026-08-31,fam_total,"Family Sector, Total",1515,486,2,488,586,99.6,room,0,True
2026-08-31,fam_emerg,"Families, Emergency Shelter Programs",675,227,1,228,249,99.6,room,1,False
2026-08-31,fam_trans_r,"Families, Transitional Shelter Programs",334,118,0,118,119,100.0,room,1,False
2026-08-31,fam_hotel,"Families, Motel/Hotel Programs",506,141,1,142,218,99.3,room,1,False
2026-08-31,sng_hotel,"Single Sector Motel/Hotel, Total",402,191,0,191,258,100.0,room,0,True
